drug_id	target_id	action
DB00001	BE0000048	inhibitor
DB00002	BE0000767	antagonist
DB00002	BE0000901	antagonist
DB00002	BE0002094	antagonist
DB00002	BE0002095	antagonist
DB00002	BE0002096	antagonist
DB00002	BE0002097	antagonist
DB00002	BE0000710	antagonist
DB00002	BE0002098	antagonist
DB00004	BE0000658	binder
DB00004	BE0000658	agonist
DB00004	BE0000651	binder
DB00004	BE0000651	agonist
DB00004	BE0002102	binder
DB00004	BE0002102	agonist
DB00005	BE0000704	antibody
DB00005	BE0000704	ligand
DB00005	BE0000710	antibody
DB00005	BE0000710	ligand
DB00005	BE0002098	antibody
DB00005	BE0002098	ligand
DB00005	BE0002099	antibody
DB00005	BE0002099	ligand
DB00005	BE0002100	antibody
DB00005	BE0002100	ligand
DB00005	BE0002097	antibody
DB00005	BE0002097	ligand
DB00005	BE0000901	antibody
DB00005	BE0000901	ligand
DB00005	BE0001087	antibody
DB00005	BE0001087	ligand
DB00005	BE0009995	antibody
DB00005	BE0009995	ligand
DB00006	BE0000048	inhibitor
DB00007	BE0000203	agonist
DB00008	BE0000385	agonist
DB00008	BE0000661	agonist
DB00009	BE0000211	activator
DB00009	BE0000538	activator
DB00009	BE0000717	activator
DB00009	BE0000240	activator
DB00010	BE0000625	agonist
DB00011	BE0000385	agonist
DB00011	BE0000661	agonist
DB00012	BE0000654	agonist
DB00013	BE0000211	activator
DB00013	BE0000211	inducer
DB00013	BE0000211	modulator
DB00013	BE0000211	substrate
DB00013	BE0000211	ligand
DB00013	BE0000717	activator
DB00013	BE0000717	inducer
DB00013	BE0000717	modulator
DB00013	BE0000717	substrate
DB00013	BE0000717	ligand
DB00013	BE0000240	activator
DB00013	BE0000240	inducer
DB00013	BE0000240	modulator
DB00013	BE0000240	substrate
DB00013	BE0000240	ligand
DB00013	BE0000969	activator
DB00013	BE0000969	inducer
DB00013	BE0000969	modulator
DB00013	BE0000969	substrate
DB00013	BE0000969	ligand
DB00013	BE0002112	activator
DB00013	BE0002112	inducer
DB00013	BE0002112	modulator
DB00013	BE0002112	substrate
DB00013	BE0002112	ligand
DB00013	BE0000942	activator
DB00013	BE0000942	inducer
DB00013	BE0000942	modulator
DB00013	BE0000942	substrate
DB00013	BE0000942	ligand
DB00013	BE0001656	activator
DB00013	BE0001656	inducer
DB00013	BE0001656	modulator
DB00013	BE0001656	substrate
DB00013	BE0001656	ligand
DB00013	BE0002113	activator
DB00013	BE0002113	inducer
DB00013	BE0002113	modulator
DB00013	BE0002113	substrate
DB00013	BE0002113	ligand
DB00014	BE0000134	agonist
DB00014	BE0000203	agonist
DB00015	BE0000211	activator
DB00015	BE0000538	activator
DB00015	BE0000240	activator
DB00016	BE0000654	agonist
DB00017	BE0000431	agonist
DB00018	BE0000661	agonist
DB00018	BE0000385	agonist
DB00019	BE0000793	agonist
DB00020	BE0000628	agonist
DB00020	BE0001036	agonist
DB00020	BE0002115	agonist
DB00020	BE0002116	agonist
DB00020	BE0002114	agonist
DB00022	BE0000661	agonist
DB00022	BE0000385	agonist
DB00023	BE0004798	other/unknown
DB00024	BE0000490	agonist
DB00025	BE0000216	activator
DB00025	BE0000216	cofactor
DB00025	BE0000216	binder
DB00025	BE0000216	antagonist
DB00025	BE0000216	chaperone
DB00025	BE0000216	modulator
DB00025	BE0000364	activator
DB00025	BE0000364	cofactor
DB00025	BE0000364	binder
DB00025	BE0000364	antagonist
DB00025	BE0000364	chaperone
DB00025	BE0000364	modulator
DB00025	BE0001043	activator
DB00025	BE0001043	cofactor
DB00025	BE0001043	binder
DB00025	BE0001043	antagonist
DB00025	BE0001043	chaperone
DB00025	BE0001043	modulator
DB00025	BE0002117	activator
DB00025	BE0002117	cofactor
DB00025	BE0002117	binder
DB00025	BE0002117	antagonist
DB00025	BE0002117	chaperone
DB00025	BE0002117	modulator
DB00025	BE0002118	activator
DB00025	BE0002118	cofactor
DB00025	BE0002118	binder
DB00025	BE0002118	antagonist
DB00025	BE0002118	chaperone
DB00025	BE0002118	modulator
DB00025	BE0001098	activator
DB00025	BE0001098	cofactor
DB00025	BE0001098	binder
DB00025	BE0001098	antagonist
DB00025	BE0001098	chaperone
DB00025	BE0001098	modulator
DB00025	BE0002109	activator
DB00025	BE0002109	cofactor
DB00025	BE0002109	binder
DB00025	BE0002109	antagonist
DB00025	BE0002109	chaperone
DB00025	BE0002109	modulator
DB00025	BE0001011	activator
DB00025	BE0001011	cofactor
DB00025	BE0001011	binder
DB00025	BE0001011	antagonist
DB00025	BE0001011	chaperone
DB00025	BE0001011	modulator
DB00025	BE0002119	activator
DB00025	BE0002119	cofactor
DB00025	BE0002119	binder
DB00025	BE0002119	antagonist
DB00025	BE0002119	chaperone
DB00025	BE0002119	modulator
DB00025	BE0002110	activator
DB00025	BE0002110	cofactor
DB00025	BE0002110	binder
DB00025	BE0002110	antagonist
DB00025	BE0002110	chaperone
DB00025	BE0002110	modulator
DB00025	BE0002120	activator
DB00025	BE0002120	cofactor
DB00025	BE0002120	binder
DB00025	BE0002120	antagonist
